Iteration,GLMNETRIDGE,GLMNETLASSO,SVMLIN,SVMRAD,RF,EXTRATREES,NNET,LDA,C5,KNN,NB,RPART,GLM,GBM
1,0.9019181655164918,0.9089278921914905,0.9080584687279248,0.8975710481986633,0.9803836331032983,0.9280008694234637,0.9542465902298538,0.8950714557409117,0.9334619355539857,0.9250665652339293,0.8809433244579689,1.0,0.9103950442862577,0.9998913220670543
2,0.9102320273868391,0.9144161278052493,0.9072977231973048,0.9082214856273434,0.9717980764005869,0.9377275444221052,0.9557680812910938,0.9054501983372277,0.9389773406509807,0.9170787371624193,0.896158235070369,1.0,0.9181111775254034,0.9999456610335271
3,0.8926262022496332,0.8964842688692062,0.8914307449872304,0.9017551486170733,0.9803292941368255,0.9326196815736565,0.9531598109003966,0.8871923056023474,0.9353094604140629,0.9326740205401294,0.8958322012715318,1.0,0.8989295223604847,1.0
4,0.8922458294843232,0.8983317937292832,0.8976253871651362,0.8837961201977939,0.9791338368744228,0.9289789708199749,0.9387056458186166,0.8858881704069987,0.9546541324784004,0.9115089930989512,0.8590447209694072,1.0,0.8990925392599034,0.9998369831005814
5,0.9177308047600935,0.9283812421887736,0.9265880562951694,0.9047981307395534,0.9821768189969027,0.9318589360430365,0.963701570396131,0.9128946367440092,0.9447372710971037,0.9452534912785959,0.8974080312992447,1.0,0.931261207411835,0.9998369831005814
6,0.8927892191490517,0.8979514209639733,0.8928435581155247,0.8971906754333532,0.9692984839428355,0.9268597511275336,0.9440308645329566,0.885833831440526,0.9284899201217192,0.933543444003695,0.8898005759930446,1.0,0.8972993533662991,0.9990762375699614
7,0.9249035483345106,0.9296853773841222,0.9257186328316035,0.9306091398141607,0.9833179372928327,0.9434331359017551,0.9666902135521382,0.9174591099277292,0.9585937075476825,0.9498723034287888,0.892300168450796,1.0,0.9314785632777265,1.0
8,0.9128402977775363,0.9168613812965277,0.9110471118839318,0.9068086724990491,0.976688583383144,0.9371841547573766,0.9570178775199696,0.9066999945661034,0.9330815627886758,0.9467478128565995,0.8974080312992446,1.0,0.9181655164918764,1.0
9,0.901157419985872,0.9094712818562191,0.9097429766885833,0.8988751833940118,0.9833722762593056,0.9300114111829593,0.9694071618757812,0.8955061674726947,0.9356354942129,0.9338151388360594,0.8624137368907244,1.0,0.9112101287833505,1.0
10,0.889637559093626,0.8997446068575775,0.8995272509916861,0.8836602727816116,0.9720697712329512,0.9240884638374178,0.9463131011248167,0.8860511873064174,0.9306091398141608,0.916942889746237,0.8787154268325816,1.0,0.9015921317176548,0.9995652882682171
11,0.8753464109112645,0.8826821713851003,0.8783350540672715,0.8752377329783186,0.971363364668804,0.9221050915611585,0.9447916100635766,0.8709992935934359,0.9208281258490464,0.9068358419822855,0.8607835678965385,1.0,0.8824648155192089,0.9981524751399228
12,0.9047437917730804,0.9090909090909091,0.906047926968429,0.9083301635602891,0.9756561430201598,0.9338694778025322,0.9484866597837309,0.8968103026680433,0.9493560832472966,0.9350105960984622,0.8856708145411074,1.0,0.9128946367440092,0.9998913220670543
13,0.9060479269684291,0.9145791447046677,0.9129489757104821,0.9074064011302506,0.9707656360376026,0.9359343585285007,0.9631581807314026,0.9037113514100962,0.9402271368798566,0.9425365429549529,0.8905069825571917,1.0,0.9141987719393577,0.99923925446938
14,0.9139814160734663,0.9216432103461392,0.9171330761288918,0.9103135358365484,0.9759821768189969,0.9348475791990436,0.9616366896701625,0.9040373852089334,0.9314242243112536,0.9200945498016628,0.8876270173341303,1.0,0.9228930065750149,1.0
15,0.9399554420474923,0.9433244579688094,0.941965983806988,0.9187632451230778,0.986252241482367,0.9467478128565995,0.9913601043308157,0.9335977829701679,0.9282725642558278,0.9393848828995272,0.9172960930283106,1.0,0.946910829756018,1.0
16,0.8976253871651361,0.9007227082540891,0.8988751833940118,0.8932782698473075,0.9768516002825626,0.934304189534315,0.9565831657881867,0.8875726783676575,0.9329457153724936,0.932402325707765,0.882410476552736,1.0,0.9002879965223063,1.0
17,0.906482638700212,0.9116448405151334,0.9084931804597077,0.8973536923327718,0.978590447209694,0.9234363962397435,0.9669075694180296,0.895832201271532,0.9325925120904199,0.918464380807477,0.8788241047655274,1.0,0.9138727381405206,0.9998913220670543
18,0.9005053523881976,0.9082758245938163,0.9063196218007934,0.8945280660761832,0.976308210617834,0.9337064609031136,0.9433244579688095,0.8893658642612619,0.91585611041678,0.9241156333206542,0.8848013910775416,1.0,0.9090365701244363,0.9984241699722871
19,0.8814867141226974,0.8868662718035103,0.8767863935227951,0.8845296962451775,0.9675868064989404,0.9101233494538934,0.9354996467967179,0.8745856653806444,0.9317774275933273,0.9242514807368363,0.8657284138455688,1.0,0.8865945769711461,0.997907949790795
20,0.9184915502907135,0.9239254469379992,0.921697549312612,0.9138183991740477,0.9747323805901211,0.9414769331087323,0.9563114709558224,0.9083301635602892,0.9489757104819867,0.940444492745748,0.894636744009129,1.0,0.9249578873009835,1.0
21,0.9136553822746292,0.9195783296201707,0.9172960930283105,0.9063196218007933,0.9836439710916699,0.940390153779275,0.9603325544748139,0.9052871814378092,0.952426234853013,0.9431886105526273,0.8893658642612617,1.0,0.9215888713796663,0.9997826441341087
22,0.9352279519643537,0.9435961528011737,0.9410422213769495,0.9277020051078629,0.9813073955333369,0.9410965603434223,0.9806009889691898,0.9276748356246264,0.9508232353420638,0.9337336303863502,0.9055045373037005,1.0,0.9466934738901266,0.9999456610335271
23,0.8930609139814161,0.9020811824159105,0.8978970819975004,0.8920284736184317,0.984730750421127,0.9361517143943922,0.9508775743085367,0.8877900342335489,0.9188990925392599,0.9337064609031136,0.8783350540672716,1.0,0.9028962669130032,0.9998913220670543
24,0.9041460631418788,0.9078954518285063,0.9058849100690104,0.9112644677498235,0.9742433298918655,0.939439221866,0.946530456990708,0.9017551486170734,0.9437320002173558,0.9451176438624137,0.8909416942889746,1.0,0.9089822311579633,0.9998913220670543
25,0.9246861924686192,0.933978155735478,0.9337064609031136,0.9193609737542793,0.9840243438569799,0.9460957452589251,0.9701679074064011,0.9223496169102864,0.9497092865293703,0.9293865130685214,0.8850730859099061,1.0,0.9353909688637723,1.0
