Iteration,GLMNETRIDGE,GLMNETLASSO,SVMLIN,SVMRAD,RF,EXTRATREES,NNET,LDA,C5,KNN,NB,RPART,GLM,GBM
1,0.772618594794327,0.7666413084823127,0.7694125957724284,0.7795196435363799,0.8205999021898605,0.818045970765636,0.8220670542846275,0.7720752051295984,0.7887300983535294,0.7659620714014019,0.7464815519208825,0.8340216269086562,0.7667499864152584,0.8234798674129218
2,0.7646035972395805,0.7625930554800847,0.7605281747541163,0.763245123077759,0.7951420963973266,0.7966092484920938,0.7804162364831821,0.7646035972395805,0.7966092484920937,0.7478128565994675,0.7500950931913275,0.7966092484920937,0.766288105200239,0.7963918926262024
3,0.7704450361354127,0.7664239526164213,0.7613704287344455,0.7830516763571156,0.8267402054012933,0.8282616964625333,0.8227191218823019,0.7709340868336685,0.8297288485573004,0.7695212737053742,0.7395261642123567,0.8345106776069118,0.7666413084823127,0.8300005433896647
4,0.7979677226539151,0.7966092484920937,0.784219964136282,0.8166603271205782,0.8404607944356898,0.843449437591697,0.8391566592403412,0.7955768081291095,0.838314405260012,0.7388740966146823,0.7746834755202956,0.8522523501603,0.7954137912296909,0.8410585230668913
5,0.756018040536869,0.7565614302015975,0.7391729609302832,0.7214584578601315,0.782318100309732,0.7843829810357006,0.7657990545019833,0.7555833288050862,0.7843829810357006,0.6902407216214748,0.7516165842525675,0.7843829810357006,0.7573221757322175,0.7790577623213606
6,0.7471607890017932,0.7471607890017932,0.7394989947291203,0.7669673422811498,0.7897625387165137,0.7906863011465523,0.7811226430473293,0.7446611965440417,0.7906863011465523,0.7022496332119763,0.7514535673531489,0.7906863011465523,0.7477585176329946,0.7821007444438407
7,0.7537086344617727,0.752024126501114,0.7464815519208825,0.7465902298538282,0.8005488235613759,0.8060370591751345,0.7832146932565343,0.7493615171439441,0.8060370591751345,0.6778786067488995,0.7503939575069283,0.8060370591751345,0.7537086344617727,0.8016899418573058
8,0.7926696734228115,0.7916372330598274,0.7912568602945173,0.8158452426234853,0.8406509808183448,0.8476063685268707,0.8579307721567137,0.7878878443732,0.8067162962560452,0.7521871434005325,0.7641417160245613,0.8709721241101994,0.79397380861816,0.8532576210400479
9,0.7557735151877409,0.7557735151877409,0.7586534804108026,0.7605553442373526,0.7844644894854099,0.7851165570830843,0.767999782644134,0.7472966364179754,0.7851165570830843,0.6746182687605282,0.7482747378144867,0.7851165570830843,0.7557735151877409,0.7846275063848285
10,0.7284138455686573,0.7284138455686573,0.7127098842580015,0.6764657936206053,0.7300983535293158,0.7300983535293158,0.7284138455686573,0.7284138455686573,0.7300983535293158,0.6692387110797153,0.720915068195403,0.7300983535293158,0.7284138455686573,0.7300983535293158
11,0.800874857360213,0.8026137042873444,0.7995707221648645,0.7973428245394772,0.8363038635005162,0.8380427104276477,0.8428245394772591,0.7957126555452915,0.8252730533065261,0.7987284681845351,0.7572678367657448,0.8537466717383034,0.7994620442319188,0.8386947780253219
12,0.7831060153235886,0.7856599467478129,0.7809324566646741,0.8145139379449002,0.8405966418518719,0.8460305384991578,0.8447807422702821,0.7804434059664186,0.838504591642667,0.7348258436124545,0.7521328044340597,0.8593979242514806,0.7831060153235886,0.8444547084714448
13,0.789979894582405,0.7895451828506223,0.7881323697223279,0.7999239254469381,0.8340487963918927,0.8358963212519699,0.8325816442971256,0.7888931152529479,0.827799815247514,0.7524860077161333,0.7694397652556649,0.8454599793511928,0.7876433190240723,0.8367657447155356
14,0.7927783513557572,0.7939194696516872,0.78636635331196,0.825273053306526,0.8350540672716406,0.8429332174102048,0.874993207629191,0.7947345541487801,0.8052491441612781,0.7912840297777537,0.7583274466119655,0.8870021192196925,0.7939738086181599,0.8573330435255121
15,0.7961473672770745,0.7933760799869587,0.7879965223061457,0.858963212519698,0.8793946639134924,0.8747758517632995,0.8948269303917841,0.7947888931152529,0.8429332174102049,0.8409226756507092,0.7704450361354127,0.9081943161441068,0.7981035700700972,0.8900451013421726
16,0.8087268380155409,0.807966092484921,0.8088898549149595,0.8471988262783242,0.8717600391240559,0.872086072922893,0.8668151931750258,0.8130196163668966,0.8723849372384938,0.8438841493234799,0.8113351084062381,0.8786610878661087,0.8065532793566266,0.869803836331033
17,0.8034559582676738,0.8013910775417052,0.803157093952073,0.8532304515568114,0.8563277726457643,0.8570885181763843,0.9051785035048634,0.798782807151008,0.8281530185295876,0.8135358365483889,0.7768842036624464,0.9191979568548606,0.805249144161278,0.8889311525294789
18,0.7964462315926751,0.7962288757267837,0.7959028419279466,0.8679563114709559,0.8788784437320002,0.880888985491496,0.9166440254306364,0.7923708091072108,0.8708906156604901,0.850105960984622,0.764005868608379,0.9339781557354778,0.7993261968157366,0.8964299299027333
19,0.7481117209150682,0.7481117209150682,0.7463728739879367,0.6735586589143076,0.7481117209150682,0.7481117209150682,0.7481117209150682,0.7448513829266967,0.7481117209150682,0.5092376243003858,0.7481117209150682,0.7481117209150682,0.7481117209150682,0.7481117209150682
