Iteration,GLMNETRIDGE,GLMNETLASSO,SVMLIN,SVMRAD,RF,EXTRATREES,NNET,LDA,C5,KNN,NB,RPART,GLM,GBM
1,0.9778840406455469,0.9795685486062055,0.9779383796120198,0.9953811878498071,1.0,0.9939683747215127,0.9920665108949628,0.975927837852524,0.9125957724284083,0.9765527359669619,0.9594087920447752,0.9125957724284083,0.9794598706732598,1.0
2,0.9775036678802369,0.9775580068467098,0.9735912622941911,0.9807096669021355,1.0,0.983589632125197,0.9927729174591099,0.9695158398087268,0.9466119654404174,0.9508775743085367,0.9375101885562136,0.9275661576916807,0.9771776340813997,1.0
3,0.9702765853393469,0.9714720426017498,0.9620170624354725,0.9844590555887627,0.9971743737434116,0.9952181709503886,0.9898929522360485,0.964081943161441,0.9529696245177417,0.9490028799652231,0.9532684888333425,0.9464761180242351,0.9716893984676411,1.0
4,0.9767429223496169,0.9765799054501983,0.9758191599195785,0.9903820029343042,1.0,0.9884258001412813,0.9841873607563985,0.970602619138184,0.9390045101342172,0.9617453676031081,0.9585393685812095,0.9340324947019508,0.9776666847796555,1.0
5,0.9741346519589197,0.9764712275172526,0.9713633646688039,0.9829919034939957,1.0,0.9921208498614357,0.9878824104765528,0.9680486877139597,0.9439221866000109,0.943107102102918,0.9485953377166766,0.9368852904417758,0.976688583383144,1.0
6,0.9775036678802369,0.977449328913764,0.975167092321904,0.9803292941368256,1.0,0.987773732543607,0.9865782752812041,0.9717437374341139,0.971173178286149,0.9526164212356681,0.9574525892517525,0.971173178286149,0.9770146171819812,1.0
7,0.9731022115959355,0.9756561430201598,0.9723414660653154,0.9842416997228713,1.0,0.9900016301689942,0.9860892245829485,0.9692441449763626,0.9727490083138618,0.9479704396022388,0.9558224202575668,0.9730207031462261,0.976688583383144,1.0
8,0.9765255664837255,0.9789708199750041,0.9769602782155083,0.9879367494430257,1.0,0.9916317991631799,0.9959789164810084,0.9730478726294626,0.9748953974895398,0.9495462696299516,0.9513122860403195,0.944438406781503,0.9798945824050427,1.0
9,0.9714720426017497,0.9718524153670598,0.9662555018203554,0.9925555615932184,0.9997826441341086,0.9915774601967071,0.9917948160625986,0.9632668586643482,0.9634027060805304,0.9522632179535945,0.9596261479106667,0.9634027060805304,0.9720154322664782,1.0
10,0.9807096669021356,0.9817964462315927,0.9773406509808183,0.9867956311470956,0.9999456610335271,0.99657664511221,0.9827745476281041,0.9764168885507798,0.9047709612563171,0.9556322338749118,0.9729391946965168,0.9047709612563171,0.9816334293321741,1.0
11,0.9767429223496169,0.9779383796120198,0.9748410585230669,0.9851654621529099,1.0,0.9941313916209314,0.9848394283540728,0.9743520078248112,0.9540835733304354,0.9597619953268489,0.954518285062218,0.9540835733304354,0.9784274303102755,1.0
12,0.9758191599195783,0.9789164810085311,0.9743520078248111,0.9878824104765528,1.0,0.9960875944139542,0.9917948160625986,0.9683203825463239,0.9733195674618269,0.9598706732597946,0.963321197630821,0.9733195674618269,0.9806009889691899,1.0
13,0.9754931261207412,0.9780470575449656,0.9707112970711298,0.9873933597782971,1.0,0.9950008150844972,0.9846764114546542,0.9702222463728741,0.9600065206759768,0.9667988914850839,0.9534858446992338,0.9600065206759768,0.9782100744443841,1.0
14,0.9677769928815954,0.970602619138184,0.9657664511220997,0.9810900396674456,0.9995652882682171,0.99277291745911,0.9783187523773298,0.9650057055914797,0.9593816225615388,0.9640276041949682,0.9544639460957453,0.9593816225615388,0.9709286529370212,1.0
15,0.9662555018203552,0.9695158398087268,0.9655219257729718,0.9782100744443841,1.0,0.9800032603379883,0.9717980764005869,0.9658751290550454,0.9399554420474923,0.9504972015432267,0.9431614410693908,0.9399554420474923,0.9703309243058198,1.0
16,0.9794598706732598,0.979351192740314,0.9735912622941911,0.9935880019562028,1.0,0.9886974949736456,0.9886431560071728,0.9728848557300441,0.9612291474216161,0.9569091995870238,0.9600608596424496,0.9464489485409988,0.9791881758408956,1.0
17,0.9817964462315927,0.9818507851980656,0.9761451937184156,0.9852198011193828,0.99961962723469,0.99353366298973,0.9893495625713199,0.9757104819866325,0.9591642666956475,0.962180079334891,0.9629951638319839,0.9591642666956475,0.9816877682986469,1.0
