Iteration,GLMNETRIDGE,GLMNETLASSO,SVMLIN,SVMRAD,RF,EXTRATREES,NNET,LDA,C5,KNN,NB,RPART,GLM,GBM
1,0.8598054665000272,0.8588273651035159,0.8596967885670815,0.8893658642612617,0.9928815953920557,0.9462587621583437,0.898494810628702,0.8590990599358801,0.9575884366679347,0.9303374449817964,0.843069064826387,1.0,0.8606205509971201,1.0
2,0.929305004618812,0.9293593435852849,0.9243058197033093,0.9569907080367331,0.9963049502798458,0.9724501439982611,0.9548443188610553,0.9195239906536977,0.9725316524479705,0.9462044231918708,0.8563821116122371,1.0,0.9296310384176493,1.0
3,0.9333804271042764,0.9330000543389665,0.935499646796718,0.9487583546160951,0.9939683747215128,0.968320382546324,0.950388523610281,0.9322393088083465,0.9663370102700645,0.93677661250883,0.8462207248818127,1.0,0.9407161875781123,1.0
4,0.9579416399500081,0.9589197413465197,0.9555507254252024,0.9767429223496169,0.9976090854751943,0.9728848557300441,0.9948921371515514,0.956094115089931,0.9829919034939956,0.9558495897408031,0.8536651632885943,1.0,0.9590284192794654,1.0
5,0.9216432103461392,0.9218062272455577,0.9222952779438135,0.9536216921154159,0.9932619681573656,0.9552246916263653,0.9726131608976798,0.919360973754279,0.9553333695593109,0.9366951040591207,0.8591533989023529,1.0,0.9252839210998206,1.0
6,0.9635385534967126,0.9629951638319839,0.9646796717926426,0.9700048905069826,0.9929359343585284,0.9671249252839211,0.9666902135521382,0.9613649948377982,0.9526979296853774,0.9262076835298593,0.8308971363364669,1.0,0.9654947562897355,1.0
7,0.9543009291963266,0.9537032005651254,0.9512579470738466,0.9554963864587296,0.9948377981850786,0.9541379122969081,0.9587023854806281,0.949953811878498,0.9531326414171604,0.927783513557572,0.8222029017008096,1.0,0.9578329620170625,1.0
8,0.8982231157963376,0.8988208444275391,0.898060098896919,0.9535945226321795,0.9987502037711242,0.9715263815682226,0.9650600445579525,0.8971363364668804,0.9720154322664784,0.9414769331087323,0.8337771015595283,1.0,0.8990925392599032,1.0
9,0.8746400043471173,0.8738249198500244,0.8828180188012824,0.9193338042710427,0.9921751888279084,0.9545726240286909,0.9409878824104766,0.8764875292071945,0.9431342715861545,0.9349562571319895,0.8496440797696029,1.0,0.8840949845133945,1.0
10,0.821279139270771,0.8208444275389882,0.8175025811009075,0.9106667391186221,0.9798945824050427,0.922838667608542,0.8925718632831604,0.815953920556431,0.9382709340868337,0.8991468782263761,0.7828614899744607,1.0,0.8211704613378253,0.9998369831005814
11,0.9581046568494267,0.9581589958158996,0.9562027930228768,0.967559637015704,0.9956528826821713,0.9647340107591155,0.9710373308699668,0.954192251263381,0.9651958919741346,0.9335977829701679,0.8431234037928599,1.0,0.9604955713742325,1.0
12,0.9169157202630006,0.9176221268271477,0.918274194424822,0.953431505732761,0.9977177634081399,0.9684833994457425,0.954137912296908,0.9076780959626148,0.9861435635494213,0.9581589958158996,0.8446992338205728,1.0,0.9221322610443949,1.0
13,0.9174047709612564,0.917513448894202,0.9198500244525349,0.9543552681627996,0.994620442319187,0.9653317393903168,0.9637015703961311,0.9151225343693964,0.9574525892517525,0.9423735260555344,0.85453458675216,1.0,0.919415312720752,1.0
