Iteration,GLMNETRIDGE,GLMNETLASSO,SVMLIN,SVMRAD,RF,EXTRATREES,NNET,LDA,C5,KNN,NB,RPART,GLM,GBM
1,0.7299896755963702,0.7284138455686574,0.7372710971037331,0.7631364451448134,0.9778297016790741,0.8614899744606859,0.7559637015703962,0.7355865891430745,0.9312883768950715,0.8530674346573929,0.6792370809107211,1.0,0.7350975384448187,0.9994022713687986
2,0.7374341140031516,0.7493343476607075,0.7493071781774711,0.7878063359234908,0.9521817095038853,0.8901809487583546,0.7560723795033419,0.7511818725207846,0.9241971417703635,0.873797750366788,0.764820953105472,1.0,0.7511818725207845,0.9919578329620171
3,0.6030538499157746,0.6030538499157746,0.6030538499157746,0.6065858827365105,0.8998261153072868,0.768624680758572,0.6030538499157746,0.6030538499157746,0.7213769494104223,0.8020703146226159,0.6030538499157746,1.0,0.6030538499157746,0.9691626365266532
4,0.6410367874803022,0.6410367874803022,0.6410367874803022,0.6561430201597566,0.8539096886377221,0.7415638754550888,0.6410367874803022,0.6410367874803022,0.7629734282453948,0.7851980655327936,0.6541324784002609,1.0,0.6410367874803022,0.9581318263326631
5,,,,,,,,,,,,,,
6,0.5920230397217846,0.5920230397217846,0.5920230397217846,0.6314187904146064,0.8398902352877248,0.7554203119056676,0.5920230397217845,0.5920230397217846,0.7274085746889093,0.7619953268488834,0.5861544313427158,1.0,0.5920230397217846,0.9709558224202575
7,0.6439167527033636,0.6451122099657665,0.6454382437646037,0.7066239200130414,0.9040373852089334,0.7845459979351193,0.600228223659186,0.6455469216975493,0.86290278758898,0.8026137042873445,0.6628267130359181,1.0,0.6454382437646036,0.9838069879910883
8,0.6610335271423137,0.6610335271423137,0.6610335271423137,0.668206270716731,0.8647231429658208,0.7372982665869695,0.6610335271423137,0.6610335271423137,0.7633809704939412,0.8007933489105037,0.6638048144324296,1.0,0.6610335271423137,0.9538933869477804
9,0.7562897353692332,0.7774819322936477,0.7849263707004294,0.8076943976525567,0.9743520078248111,0.9017008096506005,0.7589523447264034,0.7787860674889963,0.8954789979894582,0.85833831440526,0.7781883388577948,1.0,0.7834048796391893,0.9997826441341086
10,0.743085366516329,0.7679726131608976,0.7718850187469435,0.7978047057544965,0.9681030266804326,0.8879530511329674,0.7543335325762104,0.773189153942292,0.8920284736184317,0.8364668803999349,0.7366733684725317,1.0,0.7730261370428735,0.9996739662011629
