,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30
PID1,-0.0,-0.007024630790075783,-0.0,0.0,-0.0,-0.0,0.0032600287700820297,0.0,-0.0025464809806917768,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.010470086087204677,0.0,-0.0,-0.005877906257836,0.0,-0.0,-0.0,-0.01285979802070324,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
HBA1,0.014864774538645171,0.03552137875749772,0.015969011009136242,0.04204280457679785,0.02598162129613763,0.034914163691949315,0.021992798805328156,0.04148190592348594,0.023487363052053036,0.031716374395718325,0.0297049304851355,0.03636004585357989,0.029037599221708434,0.026603483446855224,0.028233614035883516,0.032963681935168423,0.022328717804266245,0.03623162763879679,0.0421354469964724,0.023253741021240316,0.025047868105241775,0.025084175529965436,0.043252186414004516,0.05003642461959219,0.02985320307889136,0.020473808133758414,0.020247242986268857,0.017509489345252535,0.056739441044768794,0.011372264879648668
DMD,0.008320124776217413,0.030316797581133762,0.06823366437659924,0.06904507291795203,0.028302371178923307,0.03957995760422612,0.014252369164325561,0.07594419340692493,0.03173645735115243,0.036754211461524446,0.0324894538037374,0.11713336528821866,0.04412400967109457,0.04929564223619044,0.02318494109489943,0.0344426091358143,0.06007147950383614,0.04425965209187541,0.017955416609640402,0.018258746525442977,0.04609638764642982,0.05637214881335141,0.059622348152327975,0.0695802394755636,0.0816994602794931,0.009837653615398777,0.05365110794140518,0.03400808557715622,0.06927860783146764,0.03667668520126639
hsa-miR-21-5p,0.0,0.07141617355212601,0.018928350142918347,0.035964950601930994,0.05783043010330138,0.08272233218793407,0.016497608585734624,0.050478335368285845,0.05351253637377643,0.07951553722925171,0.0551717799613236,0.10597113022664964,0.06973475805594852,0.03166498375398709,0.08662015017452082,0.030528652222771964,0.06452685475415801,0.048981337323426855,0.059807884239866695,0.036904181941448906,0.05760033366320598,0.014080783016062715,0.041046088904225175,0.09245181734263001,0.05503124451396136,0.04506545830281126,0.04551903639590487,0.03465393920326193,0.07232952130245009,0.0
hsa-miR-126-3p,-0.024703794167226085,-0.07238668570157614,-0.03308668725047019,-0.046436026713931336,-0.04807259306849982,-0.09350030579574788,-0.05633447468019354,-0.05328241920681003,-0.06354784518829855,-0.08514313126261572,-0.05360209255971009,-0.06692787021800833,-0.07472023501466989,-0.06597289987835901,-0.06587119705549709,-0.037928785913404955,-0.04665124678856291,-0.055316795986223355,-0.10998314216413164,-0.07291113171152591,-0.05646274616010121,-0.048801814267070864,-0.09870095316132411,-0.0820202859042734,-0.06722828548088525,-0.043159625283447266,-0.04986188395588555,-0.028932956736239697,-0.0595606719424736,-0.005652103977288346
hsa-miR-584-5p,0.07791507000414763,0.029023763126568812,0.062167115352802116,0.05140044698427251,0.05606085497056808,0.05330950780634193,0.07012834756260151,0.04486716349219541,0.042981916314606135,0.04072844043317743,0.024458273170404013,0.06487055618017756,0.08042120027690419,0.070034359123531,0.039315940144547215,0.07815491901200945,0.06344603729789636,0.05245757696400607,0.07224197502630572,0.07597174774743262,0.07097651483172783,0.05270693363615938,0.07800163132606812,0.015484981772776426,0.09340030552985545,0.05686629128690289,0.07526878552569753,0.05126945274822463,0.07102266497942458,0.05290125178944495
hsa-miR-194-5p,0.0,0.054020202240670334,5.07216878384764e-05,0.012702142626471888,0.028112695212269903,0.06572126415839356,0.0,0.04917168933516682,0.013717130345845598,0.05544013754000548,0.037459332841328345,0.02129660352666953,0.008994040978567838,0.004917679744180667,0.030683065228433094,0.0023248388939898067,0.014182401405903893,0.015291984154907652,0.018599316806740804,0.0,0.0,0.03107919651777361,0.03463619984151323,0.005665084065448702,0.00910828292074001,0.008113365181500303,0.010099353075030562,0.02110504718303333,0.017279294506804484,0.0
hsa-miR-574-5p,-0.04836223588890926,-0.048963295351139684,-0.043081023799705596,-0.024862101644698337,-0.049801947320985834,-0.07842425336822464,-0.03272600338694855,-0.07065457294145663,-0.052257620741517366,-0.046668721767741554,-0.05253365041082711,-0.03707069181795414,-0.046395992685051624,-0.033439535645353326,-0.07803985032589199,-0.054226480920979765,-0.02919599635646804,-0.04562091635853692,-0.05008354878841252,-0.0458190494657254,-0.06181599427054742,-0.06542609986478445,-0.04013220142346506,-0.05783302510923905,-0.07485985963765293,-0.03300416951169132,-0.04694054184504679,-0.051120896062173606,-0.038199813894653246,-0.05722464333449339
hsa-miR-4728-3p,0.0,0.018718323546394165,0.01621424257139653,0.0,0.008592713942769163,0.028996159293268896,0.027700458775117794,0.03276589447296377,-0.0,-0.0023196837934518276,0.023798136852111455,-0.0006774245263778169,0.0,0.00022684071637541484,0.0016668125859713825,0.001391279566182767,0.0006437486464685045,0.007249180036357864,0.0009268048270973555,0.017577004632602727,-0.0,0.0,0.02986950547045402,0.04627566915340684,0.04019197030528444,0.0,0.0,-0.007994605189319213,0.005734197994770101,0.0
hsa-miR-149-3p,-0.0,-0.0,0.0,0.0,0.0,0.018393456821204242,-0.02157997908316485,-0.003520215334076754,0.0,-0.006954176349334666,-0.00912384560761644,-0.025008515890481232,-0.0,-0.0,0.03566188825872046,0.0,-0.027058610758540855,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00549992214385084,-9.269391003097317e-05,0.0,-0.0,-0.0,-0.007044012967331734,-0.0
