,1032245-N_bwa.ciri2,1039868-N_bwa.ciri2,1042353-N_bwa.ciri2,1042745-N_bwa.ciri2,1043773-N_bwa.ciri2,1045386-N_bwa.ciri2,1045549-N_bwa.ciri2,1046191-N_bwa.ciri2,1046287-N_bwa.ciri2,1046349-N_bwa.ciri2,1046499-N_bwa.ciri2,1047291-N_bwa.ciri2,1047831-N_bwa.ciri2,1047912-N_bwa.ciri2,1048720-N_bwa.ciri2,1049983-N_bwa.ciri2,1050700-N_bwa.ciri2,1051316-N_bwa.ciri2,1054390-N_bwa.ciri2,1056166-N_bwa.ciri2,272577-N_bwa.ciri2,451368-N_bwa.ciri2,477022-N_bwa.ciri2,515975-N_bwa.ciri2,522638-N_bwa.ciri2,548142-N_bwa.ciri2,649867-N_bwa.ciri2,685749-N_bwa.ciri2,843725-N_bwa.ciri2,99272-N_bwa.ciri2
count_equals_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
count_between_2_and_5,1005,998,940,916,980,932,861,999,993,945,1012,993,984,1010,865,987,1021,1002,968,1005,942,986,939,998,968,939,1031,1023,1042,832
count_between_6_and_10,284,305,210,193,349,402,434,255,311,232,328,355,329,323,194,348,270,228,353,315,222,246,401,265,251,419,295,282,293,448
count_greater_than_10,267,301,207,149,329,412,513,226,269,182,310,354,257,243,171,322,267,204,319,286,186,210,381,225,203,420,262,252,264,505
