,1032245-T_bwa.ciri2,1039868-T_bwa.ciri2,1042353-T_bwa.ciri2,1042745-T_bwa.ciri2,1043773-T_bwa.ciri2,1045386-T_bwa.ciri2,1045549-T_bwa.ciri2,1046191-T_bwa.ciri2,1046287-T_bwa.ciri2,1046349-T_bwa.ciri2,1046499-T_bwa.ciri2,1047291-T_bwa.ciri2,1047831-T_bwa.ciri2,1047912-T_bwa.ciri2,1048720-T_bwa.ciri2,1049983-T_bwa.ciri2,1050700-T_bwa.ciri2,1051316-T_bwa.ciri2,1054390-T_bwa.ciri2,1056166-T_bwa.ciri2,272577-T_bwa.ciri2,451368-T_bwa.ciri2,477022-T_bwa.ciri2,515975-T_bwa.ciri2,522638-T_bwa.ciri2,548142-T_bwa.ciri2,649867-T_bwa.ciri2,685749-T_bwa.ciri2,843725-T_bwa.ciri2,99272-T_bwa.ciri2
count_equals_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
count_between_2_and_5,2771,1520,2098,2303,2731,2335,1192,1757,2423,2002,2610,2443,1902,2698,1647,1546,2816,1597,2111,1874,1303,2004,1877,1227,2011,2204,1628,3139,2245,2057
count_between_6_and_10,326,150,222,255,348,300,105,162,280,201,329,265,208,331,189,152,285,156,227,197,128,225,212,123,247,253,167,430,278,266
count_greater_than_10,262,108,177,203,306,224,50,124,228,158,225,206,158,266,103,100,269,108,196,146,82,163,138,83,175,173,127,331,198,184
