CIRI2-P-averag,DCC-P-averag
5.666666667,2.833333333
2.4,1.933333333
2.633333333,1.966666667
4.466666667,3.666666667
2.366666667,1.9
2.2,1.633333333
2.966666667,1.666666667
66.2,16.16666667
4.2,3.333333333
3.933333333,2.3
3.6,2.666666667
3.4,3
4.133333333,3.6
2.866666667,2.533333333
1.733333333,1.633333333
27.16666667,19.36666667
11.3,8.233333333
3.333333333,2.766666667
2.5,2
10.43333333,5.133333333
6.166666667,4.466666667
2.566666667,2.033333333
11.16666667,9.166666667
2.833333333,2.233333333
1.7,1.6
4.866666667,3.4
5.866666667,4.266666667
3.466666667,2.433333333
2.9,1.8
3.1,1.666666667
7.066666667,5.933333333
4.466666667,3.566666667
3.466666667,3.033333333
6.133333333,4.433333333
5.133333333,3.7
2.8,2.033333333
3.833333333,2.933333333
2.7,2.633333333
7.733333333,5.866666667
4.9,3.533333333
2.2,1.933333333
3.133333333,2.766666667
3.5,2.8
7.5,5.733333333
7.7,4.333333333
4.933333333,3.433333333
13.56666667,10.43333333
2.5,2.233333333
3.733333333,2.933333333
8.5,5.3
25.03333333,11.5
2.433333333,2.266666667
2.033333333,1.733333333
8.333333333,6.8
2.533333333,2.266666667
23.36666667,19
4.433333333,3.266666667
42.4,31.76666667
2.833333333,1.833333333
5.066666667,3.6
3.333333333,2.8
3.1,2.166666667
9.266666667,5.833333333
3.033333333,2.1
3.966666667,3.9
2.333333333,2.033333333
2.1,1.633333333
2.966666667,2.266666667
13.36666667,9.966666667
1.666666667,1.733333333
5.2,1.933333333
31.2,3
1.833333333,1.6
2.366666667,1.533333333
6.666666667,5.233333333
3.233333333,2.166666667
4.533333333,3.933333333
46.43333333,22.33333333
30.76666667,18.8
2,1.9
1.966666667,1.666666667
1.833333333,2.066666667
60.2,47.93333333
3.066666667,2.9
5.266666667,3.866666667
2.566666667,1.833333333
2.166666667,1.866666667
4.066666667,3.066666667
2.466666667,2.3
3.366666667,2.5
4.033333333,2.466666667
19.6,15.63333333
2.6,1.866666667
3.1,1.766666667
2.633333333,2.466666667
11.5,7.066666667
7.266666667,5.833333333
6.533333333,4.133333333
8.7,4.266666667
3.6,2.3
24.43333333,17.26666667
2.266666667,2
2.7,2.366666667
5.666666667,3.666666667
2.433333333,2.233333333
2.2,2.1
2.366666667,1.9
5.133333333,3.166666667
2.933333333,1.966666667
5.166666667,3.6
3.033333333,1.9
4.6,3.666666667
3.533333333,1.866666667
2.766666667,2.233333333
4.7,2.8
14.83333333,11.2
27.53333333,22.03333333
14.33333333,10.76666667
4.333333333,3.4
4.966666667,3.133333333
1.933333333,1.666666667
2.3,2.2
10.73333333,6.4
7.333333333,4.833333333
12.3,7.5
157.9666667,105.2
15.33333333,8.6
24.3,15.46666667
2.233333333,1.7
4.366666667,3.666666667
3.166666667,2.966666667
2.2,2.066666667
2.966666667,2.466666667
3.366666667,2.466666667
5.633333333,4.6
5,3
9.233333333,4.7
6.733333333,3.333333333
3.866666667,3.233333333
2.5,2.066666667
13.46666667,5.466666667
4.066666667,3.266666667
7.066666667,5.066666667
7.433333333,5.1
10.8,6.166666667
4.566666667,3.733333333
1.833333333,1.7
9.1,7.366666667
6.766666667,4
3.966666667,3.166666667
3.866666667,2.833333333
4.2,3.033333333
4.5,3.3
52.8,15.76666667
5.466666667,4.533333333
9.966666667,7.533333333
17.46666667,15.2
2,1.7
4.333333333,3.3
2.066666667,1.6
12.43333333,9.766666667
14.1,10.03333333
19.26666667,14.53333333
4.566666667,3.633333333
2.466666667,2.333333333
2.966666667,2.566666667
5.766666667,3.833333333
2.166666667,1.833333333
3.266666667,2.533333333
6.833333333,4.966666667
8.6,5.966666667
2.533333333,2.533333333
7.3,6
2.566666667,2.133333333
2.266666667,2.2
8.533333333,6.7
3.1,2
3.266666667,2.166666667
2.866666667,2.133333333
2.3,1.866666667
8.366666667,4.733333333
2.166666667,1.866666667
41.56666667,23.66666667
1.866666667,1.966666667
4.033333333,3.4
3.233333333,2.233333333
1.766666667,1.666666667
6.566666667,4.966666667
2.766666667,1.566666667
2.9,1.6
3.066666667,2.366666667
7.766666667,5.466666667
8.266666667,5.366666667
5.966666667,3.466666667
10.03333333,6.566666667
5.166666667,3.666666667
1.866666667,1.566666667
8.733333333,5.5
29.96666667,23.2
3.966666667,1.7
6.833333333,4.633333333
2.866666667,2.533333333
10.1,5.633333333
2.266666667,2.133333333
10.43333333,8.566666667
2.666666667,2.266666667
2.933333333,2.333333333
4.633333333,3.4
37.93333333,18.33333333
2.4,2.133333333
2.166666667,2.066666667
2.7,2.333333333
3.4,2.633333333
3.033333333,2.5
4.333333333,2.766666667
7.166666667,5.033333333
6.033333333,3.766666667
7.5,4.9
5.133333333,2.2
7.733333333,4.766666667
12.76666667,10.23333333
6.2,4.266666667
25.2,18.83333333
6.066666667,4.466666667
31.66666667,22.6
2.1,1.766666667
1.5,1.466666667
7.966666667,5.6
3.066666667,1.733333333
4.833333333,4.166666667
2.7,2.566666667
4,2.366666667
6.233333333,3.2
8.9,6
18.03333333,11.8
2.266666667,2
5.6,3.9
3.333333333,2.4
5,2.966666667
27.43333333,20.63333333
2.533333333,2.466666667
12.3,5.033333333
5.566666667,4.5
2.266666667,2.233333333
17.96666667,11.66666667
3.333333333,2.433333333
8.666666667,6.366666667
42.43333333,21.43333333
5.333333333,4.033333333
13.26666667,9.866666667
5.6,2.566666667
16.9,14.6
12,8
2.9,2.233333333
2.333333333,2.3
4.1,2.866666667
10.53333333,8.533333333
3.7,3.2
5.2,4.333333333
4.1,3.033333333
2.833333333,2.066666667
12.43333333,8.5
2.333333333,2
8.333333333,2.9
6.466666667,5.033333333
2.833333333,1.9
12.13333333,8.5
78.83333333,59.66666667
3.7,2.666666667
4.233333333,3.8
7,5.366666667
4.433333333,3.966666667
6.266666667,4.7
3.733333333,3.133333333
3,2.233333333
6.833333333,4.766666667
2.166666667,2
3.266666667,2.2
10,5.433333333
1.933333333,1.966666667
5.633333333,2.366666667
3.266666667,2.566666667
7.7,5.7
4,3.233333333
7.2,4.866666667
42.56666667,27.66666667
2.266666667,1.8
13.23333333,6.666666667
3.166666667,2.366666667
3.766666667,3.866666667
2.5,1.8
23.93333333,20.53333333
3.033333333,1.966666667
1.966666667,1.6
4.033333333,2.133333333
7.233333333,5.333333333
2.033333333,1.9
3.7,3.066666667
2.833333333,2.3
3.466666667,2.866666667
5.2,2.466666667
5.366666667,4.033333333
6.9,5.7
8.833333333,5.5
4.7,3
2.4,2.1
3.2,2.4
3.3,2.333333333
39.4,29.43333333
7.7,4.366666667
17.06666667,9.8
12.83333333,8.833333333
2.9,2.433333333
2.933333333,1.933333333
6.266666667,5.1
3.2,2.733333333
2.533333333,2.5
2.7,1.9
4.533333333,3.766666667
2.433333333,1.8
2.466666667,2
6.366666667,4.266666667
6.633333333,4.166666667
2.033333333,1.633333333
2.7,2.133333333
2.366666667,1.833333333
6.233333333,2.233333333
2.266666667,1.866666667
2.066666667,2.233333333
3,2.6
2.766666667,2.1
7,4.4
2.633333333,1.9
5,3.233333333
5.333333333,4.133333333
6.466666667,3.7
13.7,5.866666667
4.033333333,2.433333333
8.6,7.366666667
5.266666667,4.233333333
15.56666667,10.03333333
2.8,2.066666667
6.566666667,4.466666667
5.633333333,4.033333333
14.96666667,11.2
6.666666667,4.466666667
4.933333333,3.533333333
5.866666667,4.6
3.6,3.1
5.9,3.133333333
3.633333333,2.866666667
2.2,2
2,1.966666667
9.266666667,6.133333333
3.333333333,2.8
8.766666667,6.7
3.133333333,2.633333333
3.466666667,1.733333333
9.733333333,8.366666667
2.666666667,2.266666667
25.63333333,19.2
2.833333333,2.4
3.2,2.633333333
5.1,3.466666667
15.43333333,10.66666667
2.766666667,2.133333333
17.73333333,13.03333333
4.1,3.333333333
4.366666667,2.7
3.033333333,2.4
3.966666667,3.033333333
196.5666667,90.56666667
9,8.2
3.066666667,2.533333333
2,1.833333333
3.1,2.033333333
25.66666667,14.9
6.5,5.1
2.566666667,1.933333333
2.1,1.8
16.1,12
1.966666667,1.9
16.13333333,10.7
11.33333333,8.433333333
2.8,2.266666667
2.733333333,2.2
3.766666667,3.033333333
1.633333333,1.6
2.8,2.2
3,2.5
1.833333333,2
4.266666667,3.166666667
2.766666667,2.333333333
13.56666667,11.03333333
4.4,3.633333333
1.733333333,1.466666667
4.2,3.333333333
2.866666667,2.166666667
4.2,1.766666667
7.733333333,5.633333333
3.2,2.2
4.966666667,3.8
4.9,4.3
5.2,3.666666667
3.566666667,2.766666667
3.233333333,2.366666667
6.333333333,5.566666667
2.6,1.966666667
2.366666667,1.766666667
2.8,2.1
9.1,7.5
3.866666667,3.566666667
4.5,2.9
2.9,2.633333333
2.9,2.066666667
3.366666667,2.566666667
7.833333333,6.4
4.833333333,4.033333333
2.6,1.866666667
2.9,2.3
8.233333333,7.033333333
4.6,3.233333333
2.066666667,1.966666667
6.533333333,2.466666667
2.566666667,1.933333333
1.433333333,1.366666667
2.766666667,2.266666667
8.566666667,6.633333333
2.6,2.266666667
8.1,6.066666667
23.73333333,10.86666667
6.8,5.133333333
5,3.933333333
7.633333333,4.366666667
3.133333333,2.7
7.2,4.566666667
2.833333333,2.133333333
2.333333333,1.766666667
5.8,4.333333333
4.233333333,3.366666667
2.933333333,2.066666667
3.966666667,3.366666667
13.13333333,11.33333333
5.3,3.066666667
20.03333333,14.93333333
2.466666667,2.1
5.4,4.166666667
2.066666667,1.733333333
1.9,1.5
5.333333333,4.466666667
2,1.533333333
47.7,33.56666667
21,14.86666667
1.866666667,1.666666667
8.8,5.466666667
3,2.033333333
6.6,5.266666667
2.733333333,2.433333333
8.633333333,5.666666667
2.166666667,2
4,3.6
5.066666667,3.4
35.1,11.33333333
3.033333333,1.833333333
7.166666667,4.733333333
8.966666667,5.966666667
2.066666667,1.866666667
3.733333333,2.8
24.13333333,17.7
9.7,4.066666667
1.833333333,1.666666667
4.733333333,3.5
3.5,2.6
6.5,3.866666667
8.766666667,6.166666667
10.93333333,6.3
2.433333333,1.9
1.7,1.8
4.7,3.8
2.466666667,2
5.566666667,4.3
1.566666667,1.566666667
5.433333333,3.9
40.76666667,31.73333333
3.433333333,2.533333333
1.666666667,1.566666667
3.333333333,2.166666667
5.066666667,3.366666667
5,4
5.166666667,4.6
4,2.333333333
2.366666667,2.433333333
12.7,6.566666667
1.933333333,1.666666667
21.06666667,8.266666667
15.56666667,9.733333333
7.566666667,6.266666667
15.26666667,12.26666667
5,3.3
4.9,1.966666667
3.1,2.9
3.133333333,2.4
14.83333333,11.36666667
4.933333333,3.6
4.166666667,2.366666667
1.866666667,1.766666667
12.86666667,9.666666667
2.2,2.033333333
2.8,2
4.5,2.233333333
6.366666667,4.366666667
6.5,4.066666667
5.5,4.3
4.533333333,3.633333333
3.866666667,2.6
1.9,1.633333333
2.366666667,2.033333333
13.53333333,8.666666667
4.833333333,4.066666667
8.4,6.166666667
40,25.06666667
4.766666667,4.033333333
9.6,6.5
3.366666667,2.633333333
5.466666667,2.666666667
2.266666667,1.866666667
3.5,2.3
6.9,3.5
7.7,6.1
11.1,8.133333333
2.966666667,2.3
10.7,7.866666667
3.5,2.9
4,2.666666667
7.433333333,4.4
2.133333333,1.733333333
13.23333333,7.366666667
2.766666667,1.966666667
3.6,3.333333333
6.333333333,5.066666667
13.53333333,7.9
12.56666667,7.6
3.9,3.366666667
6.533333333,4.866666667
2.033333333,1.633333333
5.2,3.833333333
3.166666667,2.833333333
3.066666667,2.5
2.766666667,2.733333333
14.23333333,9.466666667
2.766666667,2.266666667
4.5,3.2
2.966666667,2.566666667
9.7,6.9
7.866666667,5
5.3,3.066666667
3.633333333,3.133333333
6.433333333,5.333333333
4.466666667,3.366666667
8.2,5.833333333
2.6,2.466666667
14.6,3.833333333
3.333333333,2.3
4.233333333,2.466666667
2.466666667,1.966666667
2.2,1.933333333
1.7,1.533333333
5.8,4.066666667
3.7,2.9
2.833333333,2.266666667
3.566666667,2.7
9.533333333,6.433333333
13.66666667,10.43333333
27.1,12.56666667
26.7,6.133333333
3.766666667,2.3
4.266666667,2.333333333
2.166666667,1.666666667
17.83333333,13.03333333
3.666666667,2.966666667
1.833333333,1.633333333
6.066666667,4.4
13.83333333,12.26666667
15.9,11.23333333
3.2,3.033333333
7.033333333,5.633333333
3.1,2.9
15.8,10.13333333
3.766666667,2.133333333
5.566666667,3.733333333
4.033333333,3.066666667
12.56666667,9.833333333
2.066666667,1.566666667
7.266666667,5.7
2.766666667,2.133333333
5,4.266666667
7.466666667,5.5
22.66666667,11.9
5.4,3.566666667
2.866666667,1.966666667
3.066666667,2.8
2.933333333,2.3
3.166666667,2.166666667
1.633333333,1.666666667
2.2,1.666666667
5.2,4.233333333
2.3,2.033333333
1.833333333,1.733333333
4,2.633333333
16.63333333,10.5
6.466666667,4
7.066666667,5.566666667
4.433333333,3.733333333
10.26666667,6.633333333
12.3,8.933333333
2.7,2.233333333
2.9,2.433333333
5.066666667,4.233333333
16.1,10.63333333
3.4,2.8
18.2,12.8
29.43333333,22.13333333
2.5,2.033333333
14.06666667,9.466666667
2.533333333,1.833333333
4.933333333,2
3.766666667,2.666666667
3.7,3.033333333
2.466666667,2.266666667
13.2,8.2
5.066666667,3.7
10.66666667,8.266666667
4.133333333,2.666666667
5.766666667,3.166666667
34.6,15.36666667
4.8,3.166666667
2.766666667,2.4
5.333333333,4.5
2.833333333,2.566666667
7.566666667,5.666666667
19.16666667,15.03333333
6.5,3.066666667
2.166666667,1.933333333
7.833333333,5.3
6.866666667,1.9
2.866666667,1.733333333
2.766666667,2.7
6.833333333,4.8
8.066666667,6.966666667
3.166666667,2.733333333
7.633333333,6.533333333
4.166666667,2.766666667
2.066666667,1.833333333
17.16666667,12.66666667
15.86666667,11
6.1,2.4
10.7,6.4
2.466666667,1.933333333
3.9,3.366666667
10.5,7.1
27.5,19.5
5.266666667,3.533333333
1.833333333,1.6
3.9,2.633333333
2,1.8
5.966666667,2.166666667
3.833333333,2.633333333
2.633333333,1.4
2.033333333,1.633333333
6.133333333,5.366666667
13.8,10.46666667
3.9,2.7
9.6,6.766666667
3.933333333,3.233333333
4.966666667,3.033333333
10,7.2
3,2.666666667
2.4,2
5.466666667,3.566666667
3.6,2.933333333
2.4,1.9
12.76666667,10.6
4.366666667,3.433333333
3.466666667,2.366666667
6.733333333,5
12.2,8.9
3.6,2.266666667
5.566666667,3.4
3.866666667,4.9
1.966666667,1.7
2.3,1.7
3.533333333,2.8
12.86666667,6.566666667
5.2,4.066666667
6.7,3.933333333
11.9,10.73333333
3.066666667,2.333333333
11.36666667,7.766666667
3.166666667,2.433333333
3.566666667,2.733333333
2.566666667,2.233333333
11.33333333,8.7
6.133333333,4.833333333
2.2,1.7
12.5,8.533333333
3.666666667,3.1
3.433333333,2.766666667
2.6,2.366666667
7.166666667,5.6
2.3,1.933333333
2.866666667,2.633333333
4.5,3.5
11.7,8.066666667
11.46666667,8.533333333
6.2,5.266666667
5.033333333,3.633333333
3.6,2.633333333
2.3,1.966666667
2.533333333,1.666666667
5.666666667,3.966666667
3.7,2.6
3.1,2
23.86666667,12.2
4.3,2.066666667
2.4,2.433333333
4.966666667,4.333333333
29.23333333,17.8
3.2,2.233333333
3.166666667,2.833333333
5.866666667,3.7
3.033333333,1.9
3.6,2.833333333
2,1.733333333
3.6,3.5
3.733333333,3.2
10.33333333,5.266666667
8.6,5.866666667
2.8,2.533333333
3.966666667,2.066666667
3.6,2.966666667
2.933333333,2.433333333
2.366666667,2.266666667
3.266666667,2.833333333
18.5,8.166666667
4.166666667,2.433333333
3.033333333,2.5
10,8.033333333
2.5,2.1
4.7,4.133333333
3.566666667,3.1
2.3,1.933333333
5.066666667,3.2
9.033333333,5.9
2.4,2.1
7.9,6.033333333
9.066666667,5.033333333
3.133333333,1.933333333
3.566666667,2.966666667
5.3,3.833333333
21.9,15.56666667
3.2,1.966666667
3.566666667,2.633333333
6.7,5.033333333
2.866666667,1.9
4.366666667,3.5
7.933333333,5.933333333
5.733333333,4.3
2.333333333,2
7.366666667,4.1
5.466666667,3.766666667
2.633333333,2.166666667
3.233333333,1.8
1.666666667,1.566666667
40.76666667,20.26666667
8.433333333,6.133333333
4.833333333,3.766666667
12.73333333,9.733333333
32.9,26.23333333
4.733333333,3.166666667
7.033333333,4.266666667
2.233333333,2.166666667
2.3,1.833333333
13.9,10.83333333
2.333333333,2.1
21.86666667,16.9
31.2,20.8
4.266666667,3.433333333
30.86666667,25.66666667
6.6,4.933333333
2.566666667,2.366666667
2.033333333,1.9
1.933333333,2.2
2.933333333,2.466666667
9.533333333,7.4
4.8,3.633333333
12.56666667,8.3
3.533333333,3.166666667
2.033333333,1.866666667
3.566666667,2.166666667
5.033333333,3.4
1.566666667,1.7
12.5,9.7
3.933333333,2.966666667
4.466666667,2.066666667
2.333333333,2.033333333
4.3,2.8
4.933333333,3.933333333
9.6,6.466666667
10.23333333,7.866666667
20.2,10.2
7.9,5.166666667
9.233333333,6.8
2.466666667,1.5
2.866666667,2.033333333
2.5,1.9
2.766666667,1.6
3.766666667,3
6.6,5.266666667
2.833333333,3.2
4.033333333,3.233333333
6.4,2.933333333
1.966666667,1.666666667
2.566666667,2.166666667
5,3.366666667
34.33333333,19.5
5.333333333,4.366666667
